DISTRICT,UNIT,YEAR,no.of.VEHICLES,ACCIDENT_classification,ACCIDENT_SPOT,AccidentLocation,AccidentSubLocation,HitAndRun,Severity,CollisionType,RoadCharacter,RoadType,SurfaceType,SurfaceCondition,Weather,LaneType,RoadMark
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Rural Areas,Open area,No,Grievous Injury,Drowned,Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bridge,Villages settlement,Narrow bridge or culverts,No,Fatal,Hit fixed object,Others,State Highway,Bitumen(Tar),Not Applicable,Light Rain,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,City/Town,Near School or College,Yes,Damage Only,Hit and Run,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,Rural Areas,Residential area,No,Damage Only,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Cross roads,City/Town,At pedestrian Crossing,Yes,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Not Applicable,Rural Areas,Near or inside a village,No,Grievous Injury,Hit animal,Not Applicable,Village Road,Bitumen(Tar),Dry,Clear,SingleLane,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,Rural Areas,Open area,No,Damage Only,Hit fixed object,Others,State Highway,Bitumen(Tar),Dry,Fine,DualLane,Centre Yellow Line
Bagalkot,Amengad PS,2016,2,Not Applicable,Bottleneck,Rural Areas,Near School or College,No,Grievous Injury,Rear end,Not Applicable,Village Road,Bitumen(Tar),Others,Fine,Others,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,More than four arms,City/Town,In bazaar,No,Fatal,Hit fixed object,Others,State Highway,Bitumen(Tar),Not Applicable,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Road hump or Rumble strips,Rural Areas,Narrow bridge or culverts,No,Fatal,Head on,Others,One way,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,Rural Areas,Open area,No,Grievous Injury,Hit puchcart,Not Applicable,State Highway,Bitumen(Tar),Dry,Not Applicable,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Junction,Rural Areas,At pedestrian Crossing,No,Grievous Injury,Hit puchcart,Not Applicable,State Highway,Bitumen(Tar),Others,Fine,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Curves,Rural Areas,Near or inside a village,No,Grievous Injury,Hit fixed object,Not Applicable,One way,Bitumen(Tar),Dry,Fine,Others,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Other,City/Town,In bazaar,No,Grievous Injury,Hit puchcart,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,T Junction,City/Town,In bazaar,No,Damage Only,Hit parked vehicle,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Road hump or Rumble strips,Rural Areas,Residential area,No,Fatal,Skidding or Self accident,Hump,Village Road,Bitumen(Tar),Dry,Fine,Others,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Road hump or Rumble strips,Not Applicable,Near or inside a village,No,Grievous Injury,Not Applicable,Hump,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Junction,Rural Areas,Near School or College,Yes,Grievous Injury,Hit and Run,Others,One way,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bridge,Rural Areas,Narrow bridge or culverts,Yes,Grievous Injury,Hit and Run,Not Applicable,State Highway,Bitumen(Tar),Dry,Not Applicable,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Rural Areas,Open area,No,Fatal,Hit puchcart,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Villages settlement,At pedestrian Crossing,No,Not Applicable,Head on,Others,State Highway,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Rural Areas,At pedestrian Crossing,Not Applicable,Grievous Injury,Head on,Not Applicable,One way,Bitumen(Tar),Dry,Clear,Others,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,City/Town,Open area,No,Grievous Injury,Drowned,Dip or trough,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Other,Villages settlement,Residential area,No,Grievous Injury,Hit bicyclist,Straight and flat,Village Road,Bitumen(Tar),Not Applicable,Clear,Others,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Offset,Rural Areas,Open area,No,Grievous Injury,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Not Applicable,Rural Areas,Near a factory industrial area,No,Fatal,Overturning,Not Applicable,NH,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,Rural Areas,Near a factory industrial area,No,Grievous Injury,Head on,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Cross roads,Rural Areas,Open area,No,Grievous Injury,Head on,Straight and flat,One way,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Rural Areas,At pedestrian Crossing,No,Damage Only,Skidding or Self accident,Curve and Incline,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bridge,Villages settlement,Narrow bridge or culverts,No,Damage Only,Head on,Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Not Applicable,Bottleneck,City/Town,Near Bus stop,Yes,Fatal,Head on,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,City/Town,Near Bus stop,No,Simple Injury,Drowned,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,City/Town,Near or inside a village,Not Applicable,Grievous Injury,Drowned,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Junction,City/Town,Near office complex,No,Grievous Injury,Head on,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Clear,NULL,NULL
